target_pitch,actual_pitch,target_roll,actual_roll,estimated_total_velocity,vertical_velocity,a_x,a_y,a_z
10.000000,11.873426,0.000000,0.105779,0.086921,-0.083795,2.051376,0.114922,9.572019
10.000000,11.905495,0.000000,0.079973,0.067511,-0.063509,2.020367,0.068235,9.585187
10.000000,12.005508,0.000000,0.037913,0.051810,-0.046469,2.151559,0.070629,9.539697
10.000000,12.024756,0.000000,-0.021873,0.037701,-0.029827,2.126513,-0.077812,9.540894
10.000000,12.040308,0.000000,-0.064060,0.027890,-0.015687,2.115780,-0.165200,9.594764
10.000000,12.090444,0.000000,-0.110150,0.024043,-0.005094,2.177798,-0.111330,9.502586
10.000000,12.098551,0.000000,-0.013727,0.024489,0.005838,2.111009,-0.356736,9.779117
10.000000,11.904816,0.000000,0.206243,0.036502,0.028361,1.661376,-0.405817,9.635465
10.000000,11.839807,0.000000,0.535711,0.060345,0.056703,1.658991,-0.456095,10.978612
10.000000,11.732425,0.000000,1.123991,0.112892,0.111781,0.201560,0.272939,10.818200
10.000000,11.503904,0.000000,1.707443,0.156656,0.156084,-0.571284,-0.089783,10.405201
10.000000,11.392868,0.000000,1.903638,0.150239,0.148059,-0.332752,-0.663194,9.959879
10.000000,11.337698,0.000000,2.026691,0.138783,0.133215,-0.107339,-0.214281,9.106346
10.000000,11.493800,0.000000,2.334683,0.060067,0.032177,0.760917,0.933739,8.956709
10.000000,12.074394,0.000000,2.594256,0.053364,-0.023875,1.923761,1.508347,8.761581
10.000000,13.306141,0.000000,2.869673,0.122569,-0.115902,3.190367,1.626860,8.060080
10.000000,14.724807,0.000000,3.034908,0.142226,-0.140870,4.507064,1.567005,7.147889
10.000000,16.221033,0.000000,3.214858,0.283311,-0.283283,5.749815,1.412579,6.569689
10.000000,18.232479,0.000000,3.703896,0.432885,-0.431904,6.624036,2.438494,6.199785
10.000000,22.360891,0.000000,4.308660,0.502088,-0.246650,9.385044,1.691504,7.831434
10.000000,24.944256,0.000000,4.426773,0.488322,-0.180940,12.259356,1.310825,8.990228
10.000000,27.915745,0.000000,4.406068,0.502094,0.168213,16.437246,0.954089,10.120291
10.000000,30.229433,0.000000,4.241545,0.800625,0.585323,18.875044,1.636437,12.295423
